Coal consumption of residential;;;;;;
;ISO code;Unit;2011;2012;2013;2014
Belgium;BE;Mtoe;0.10;0.09;0.11;0.07
Bulgaria;BG;Mtoe;0.24;0.24;0.19;0.13
Croatia;HR;Mtoe;0.00;0.00;0.00;0.00
Cyprus;CY;Mtoe;-;-;-;-
Czech Republic;CZ;Mtoe;0.61;0.62;0.70;0.51
Denmark;DK;Mtoe;0.00;0.00;0.00;-
Estonia;EE;Mtoe;0.01;0.01;0.01;0.01
Finland;FI;Mtoe;0.01;0.01;0.00;0.00
France;FR;Mtoe;0.17;0.06;0.19;0.15
Germany;DE;Mtoe;0.85;0.75;0.68;0.57
Greece;EL;Mtoe;0.00;0.00;0.00;0.00
Hungary;HU;Mtoe;0.17;0.15;0.13;0.10
Ireland;IE;Mtoe;0.46;0.45;0.47;0.41
Italy;IT;Mtoe;0.00;0.00;-;-
Latvia;LV;Mtoe;0.02;0.01;0.01;0.01
Lithuania;LT;Mtoe;0.07;0.07;0.08;0.06
Luxembourg;LU;Mtoe;0.00;0.00;0.00;-
Malta;MT;Mtoe;-;-;-;-
Netherlands;NL;Mtoe;0.00;0.00;0.00;0.00
Poland;PL;Mtoe;6.81;7.19;6.92;6.34
Portugal;PT;Mtoe;-;-;-;-
Romania;RO;Mtoe;0.02;0.03;0.03;0.07
Slovakia;SK;Mtoe;0.05;0.04;0.03;0.02
Slovenia;SI;Mtoe;0.00;0.00;0.00;0.00
Spain;ES;Mtoe;0.12;0.11;0.09;0.09
Sweden;SE;Mtoe;-;-;-;-
United Kingdom;UK;Mtoe;0.61;0.58;0.59;0.50
