Country;Population
ALA;31715
Albania;3041005
ALL;513899737
Austria;9207819
Belgium;11407440
Bulgaria;4887782
BIH;369638
BLR;46059
CHE;7137850
Czech;11247332
Denmark;5883858
DZA;0
Spain;45542834
Estonia;810404
Finland;4346806
France;65048999
FRO;0
United Kingdom;65121569
Germany;86639405
GGY;1879
Greece;9974962
HRV;4468113
Hungary;10573590
IMN;0
Ireland;4732979
Island;0
Italy;61338982
Lithuania;2912495
Luxembourg;647476
Latvia;1772966
MKD;634680
MNE;6776
Netherlands;13347989
Norway;5079725
Poland;38458554
Portugal;10575411
Romania;10228863
RUS;39965
SJM;0
SRB;330417
Slovakia;5352315
Slovenia;1819101
Sweden;9482751
TUN;0
UKR;175007
XKX;1174226
