Coutry;Source;Unit;2011;2012;2013;2014
Belgium;Eurostat ;Mtoe;1.66;1.71;1.70;1.63
Bulgaria;Eurostat ;Mtoe;0.94;0.93;0.91;0.91
Croatia;Eurostat ;Mtoe;0.56;0.56;0.54;0.48
Cyprus;Eurostat ;Mtoe;0.15;0.14;0.12;0.12
Czech Republic;Eurostat ;Mtoe;1.22;1.25;1.27;1.21
Denmark;Danish Energy Agency ;Mtoe;0.87;0.86;0.89;0.87
Estonia;Eurostat ;Mtoe;0.17;0.17;0.16;0.15
Finland;Eurostat ;Mtoe;1.84;1.92;1.85;1.84
France;Eurostat ;Mtoe;12.08;13.61;14.44;12.85
Germany;Eurostat ;Mtoe;11.75;11.78;11.69;11.14
Greece;Eurostat ;Mtoe;1.52;1.64;1.50;1.47
Hungary;Eurostat ;Mtoe;0.97;0.91;0.91;0.90
Ireland;Eurostat ;Mtoe;0.71;0.70;0.68;0.66
Italy;Eurostat ;Mtoe;6.03;5.97;5.76;5.52
Latvia;Eurostat ;Mtoe;0.15;0.15;0.15;0.15
Lithuania;Eurostat ;Mtoe;0.23;0.23;0.22;0.23
Luxembourg;Eurostat ;Mtoe;0.07;0.08;0.08;0.08
Malta;Eurostat ;Mtoe;0.05;0.05;0.05;0.06
Netherlands;Eurostat ;Mtoe;1.98;2.01;2.02;1.97
Poland;Eurostat ;Mtoe;2.43;2.43;2.45;2.41
Portugal;Eurostat ;Mtoe;1.18;1.11;1.06;1.02
Romania;Eurostat ;Mtoe;1.00;1.03;1.02;1.02
Slovakia;Eurostat ;Mtoe;0.39;0.41;0.42;0.42
Slovenia;Eurostat ;Mtoe;0.28;0.27;0.28;0.27
Spain;Eurostat ;Mtoe;6.54;6.46;6.11;6.08
Sweden;Eurostat ;Mtoe;3.64;3.78;3.74;3.17
United Kingdom;Eurostat ;Mtoe;9.60;9.86;9.75;9.36
EU28;Eurostat ;Mtoe;69.53;71.59;71.27;67.51
