,unit,storage_charge_controller_in,storage_charge_controller_out,solar_inverter_01,solar_inverter_02,solar_inverter_03
age_installed,year,0,0,0,0,0
capex_fix,currency,0,0,0,0,0
capex_var,currency/kW,46,46,230,230,230
efficiency,factor,1,1,0.95,0.95,0.95
inflow_direction,str,Electricity,ESS Li-Ion,PV bus1,PV bus2,PV bus3
installedCap,kW,0,0,0,0,0
maximumCap,kWp,None,None,None,None,None
label,str,Charge Contoller ESS Li-Ion (charge),Charge Contoller ESS Li-Ion (discharge),Solar inverter 1,Solar inverter 2,Solar inverter 3
lifetime,year,10,10,15,15,15
opex_fix,currency/kW/year,0,0,6,6,6
opex_var,currency/kWh,0,0,0,0,0
optimizeCap,bool,True,True,True,True,True
outflow_direction,str,ESS Li-Ion,Electricity,Electricity,Electricity,Electricity
energyVector,str,Electricity,Electricity,Electricity,Electricity,Electricity
type_oemof,str,transformer,transformer,transformer,transformer,transformer
unit,str,kW,kW,kW,kW,kW
