,unit,storage_charge_controller_in,storage_charge_controller_out,Solar inverter,heat_pump_air_air_2015,heat_pump_air_air_2020,heat_pump_air_air_2030,heat_pump_air_air_2050,heat_pump_air_water_2015,heat_pump_air_water_2020,heat_pump_air_water_2030,heat_pump_air_water_2050,heat_pump_brine_water_2015,heat_pump_brine_water_2020,heat_pump_brine_water_2030,heat_pump_brine_water_2050
unit,str,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW
optimizeCap,bool,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
maximumCap,None or float,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
installedCap,kW,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
age_installed,year,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
lifetime,year,10,10,10,12,12,12,12,18,18,18,18,20,20,20,20
development_costs,currency,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
specific_costs,currency/kW,0,0.0,100,450,425,316.67,300,1000,940,850,760,1600,1500,1400,1200
specific_costs_om,currency/kW/year,0.0,0.0,4.0,42.5,40.5,24.33,22,29.1,27.8,25.5,23.9,29.1,27.8,25.5,23.9
dispatch_price,currency/kWh,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
efficiency,factor,1,1,0.95,"{'file_name': 'None', 'header': 'no_unit', 'unit': ''}","{'file_name': 'None', 'header': 'no_unit', 'unit': ''}","{'file_name': 'None', 'header': 'no_unit', 'unit': ''}","{'file_name': 'None', 'header': 'no_unit', 'unit': ''}","{'file_name': 'None', 'header': 'no_unit', 'unit': ''}","{'file_name': 'None', 'header': 'no_unit', 'unit': ''}","{'file_name': 'None', 'header': 'no_unit', 'unit': ''}","{'file_name': 'None', 'header': 'no_unit', 'unit': ''}","{'file_name': 'None', 'header': 'no_unit', 'unit': ''}","{'file_name': 'None', 'header': 'no_unit', 'unit': ''}","{'file_name': 'None', 'header': 'no_unit', 'unit': ''}","{'file_name': 'None', 'header': 'no_unit', 'unit': ''}"
inflow_direction,str,Electricity bus,ESS Li-Ion bus,PV bus,Electricity bus,Electricity bus,Electricity bus,Electricity bus,Electricity bus,Electricity bus,Electricity bus,Electricity bus,Electricity bus,Electricity bus,Electricity bus,Electricity bus
outflow_direction,str,ESS Li-Ion bus,Electricity bus,Electricity bus,Heat bus,Heat bus,Heat bus,Heat bus,Heat bus,Heat bus,Heat bus,Heat bus,Heat bus,Heat bus,Heat bus,Heat bus
energyVector,str,Electricity,Electricity,Electricity,Heat,Heat,Heat,Heat,Heat,Heat,Heat,Heat,Heat,Heat,Heat,Heat
type_oemof,str,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer
