,unit,storage_charge_controller_in,storage_charge_controller_out,Solar inverter,Heat pump
unit,str,kW,kW,kW,kW
optimizeCap,bool,True,True,True,True
maximumCap,None or float,None,None,None,None
installedCap,kW,0.0,0.0,0.0,0
age_installed,year,0.0,0.0,0.0,0
lifetime,year,10,10,10,12
development_costs,currency,0.0,0.0,0.0,0
specific_costs,currency/kW,44,0.0,100,450
specific_costs_om,currency/kW/year,0.0,0.0,4.0,42.5
dispatch_price,currency/kWh,0.0,0.0,0.0,0
efficiency,factor,0.95,0.95,0.95,"{'file_name': 'cops_heat_pump_2015_40.416775_-3.70379_38.0.csv', 'header': 'no_unit', 'unit': ''}"
inflow_direction,str,Electricity bus,ESS Li-Ion bus,PV bus,Electricity bus
outflow_direction,str,ESS Li-Ion bus,Electricity bus,Electricity bus,Heat bus
energyVector,str,Electricity,Electricity,Electricity,Heat
type_oemof,str,transformer,transformer,transformer,transformer
