,unit,storage_charge_controller_in,storage_charge_controller_out,Solar inverter,Gas heating
unit,str,kW,kW,kW,kW
optimizeCap,bool,True,True,True,True
maximumCap,None or float,None,None,None,None
installedCap,kW,0.0,0.0,0.0,0
age_installed,year,0.0,0.0,0,0
lifetime,year,10,10,10,20
development_costs,currency,0.0,0.0,0.0,0
specific_costs,currency/kW,44,0.0,100,320
specific_costs_om,currency/kW/year,0.0,0.0,4.0,20.9
dispatch_price,currency/kWh,0.0,0.0,0.0,0
efficiency,factor,0.95,0.95,0.95,0.97
inflow_direction,str,Electricity bus,ESS Li-Ion bus,PV bus,Gas bus
outflow_direction,str,ESS Li-Ion bus,Electricity bus,Electricity bus,Heat bus
energyVector,str,Electricity,Electricity,Electricity,Heat
type_oemof,str,transformer,transformer,transformer,transformer
